position_api,position_calculated,title,publication,authors,self_citation_status,matched_text,link,data_cid
1,1,Ovarian aging: mechanisms and clinical consequences,"FJ Broekmans, MR Soules, BC Fauser - Endocrine reviews, 2009 - academic.oup.com",FJ Broekmans; MR Soules; BC Fauser,NO AUTOCITA,,https://academic.oup.com/edrv/article-abstract/30/5/465/2355057,lPrGBG3E1JEJ
2,2,"Sex determination, gonadal sex differentiation, and plasticity in vertebrate species","Y Nagahama, T Chakraborty… - Physiological …, 2021 - journals.physiology.org",Y Nagahama; T Chakraborty,NO AUTOCITA,,https://journals.physiology.org/doi/abs/10.1152/physrev.00044.2019?journalCode=physrev&utm_source=TrendMD&utm_medium=cpc&utm_campaign=Physiological_Reviews_TrendMD_0,rU0BNKa6yEgJ
3,3,Beyond apoptosis: evidence of other regulated cell death pathways in the ovary throughout development and life,"JM Stringer, LR Alesi, AL Winship… - Human Reproduction …, 2023 - academic.oup.com",JM Stringer; LR Alesi; AL Winship,NO AUTOCITA,,https://academic.oup.com/humupd/article-abstract/29/4/434/7060053,PxG_fQIA56YJ
4,4,Single-cell technologies: From research to application,"L Wen, G Li, T Huang, W Geng, H Pei, J Yang, M Zhu… - The Innovation, 2022 - cell.com",L Wen; G Li; T Huang; W Geng; H Pei; J Yang; M Zhu,NO AUTOCITA,,https://www.cell.com/the-innovation/fulltext/S2666-6758(22)00138-2,_sG4gQhj5k4J
5,5,The mammalian ovary from genesis to revelation,"MA Edson, AK Nagaraja, MM Matzuk - Endocrine reviews, 2009 - academic.oup.com",MA Edson; AK Nagaraja; MM Matzuk,NO AUTOCITA,,https://academic.oup.com/edrv/article-abstract/30/6/624/2355078,CuHCaPauHcQJ
6,6,Somatic sex reprogramming of adult ovaries to testes by FOXL2 ablation,"NH Uhlenhaut, S Jakob, K Anlag, T Eisenberger… - Cell, 2009 - cell.com",NH Uhlenhaut; S Jakob; K Anlag; T Eisenberger…,NO AUTOCITA,,https://www.cell.com/fulltext/S0092-8674(09)01433-0?large_figure=true,qOCf0C_oqf4J
7,7,DMRT1 prevents female reprogramming in the postnatal mammalian testis,"CK Matson, MW Murphy, AL Sarver, MD Griswold… - Nature, 2011 - nature.com",CK Matson; MW Murphy; AL Sarver; MD Griswold,NO AUTOCITA,,https://www.nature.com/articles/nature10239,95KW_lntAugJ
8,8,Two distinct pathways of pregranulosa cell differentiation support follicle formation in the mouse ovary,"W Niu, AC Spradling - Proceedings of the National Academy of Sciences, 2020 - pnas.org",W Niu; AC Spradling,NO AUTOCITA,,https://www.pnas.org/doi/abs/10.1073/pnas.2005570117,sChAxoorL9UJ
9,9,Molecular control of oogenesis,"F Sánchez, J Smitz - Biochimica et Biophysica Acta (BBA)-Molecular Basis …, 2012 - Elsevier",F Sánchez; J Smitz,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0925443912001214,pY7771w9S6kJ
10,10,Sex determination and gonadal development in mammals,"D Wilhelm, S Palmer, P Koopman - Physiological reviews, 2007 - journals.physiology.org",D Wilhelm; S Palmer; P Koopman,NO AUTOCITA,,https://journals.physiology.org/doi/full/10.1152/physrev.00009.2006?fbclid=IwAR0CFgegeqg-ZCFzK5K4tmodoxDTdopjcwbc-R8JSyAQJJ3bpGGKLEI9_a4,2B_AZ-OGgegJ
